statename,ccode,leader,begyr,begmo,begday,leaderpos,affiliation,solschange,solsminchinit,solsminchdur,interim,archigosobsid,version
Switzerland,225,Micheline Anne Marie Calmy-Rey,2011,1,1,President,SP/CVP/FDP/SVP/BDP,0,0,0,0,SWZ-2011,5
Switzerland,225,Eveline Widmer-Schlumpf,2012,1,1,President,BDP/SVP/CVP/FDP/SP,0,0,0,0,SWZ-2012,5
Switzerland,225,"Ulrich ""Ueli"" Maurer",2013,1,1,President,SVP/CVP/FDP/SP/BDP,0,0,0,0,SWZ-2013,5
Switzerland,225,Didier Eric Burkhalter,2014,1,1,President,FDP/CVP/SVP/SP/BDP,0,0,0,0,SWZ-2014,5
Switzerland,225,Simonetta Myriam Sommaruga,2015,1,1,President,"SP/FDP/CVP/SVP/BDP, SP/FDP/CVP/SVP",0,0,1,0,SWZ-2015,5
Switzerland,225,Johann Nikolaus Schneider-Ammann,2016,1,1,President,FDP/CVP/SP/SVP,0,0,0,0,,5
Switzerland,225,Doris Leuthard,2017,1,1,President,CVP/FDP/SP/SVP,0,0,0,0,,5
Switzerland,225,Alain Berset,2018,1,1,President,SP/CVP/FDP/SVP,0,0,0,0,,5
Spain,230,Figueroa y Torres,,,,PM,PL,,,0,0,SPN-1918-3,5
Spain,230,Maura y Montaner,1919,4,14,PM,PC,1,0,0,0,SPN-1919-1,5
Spain,230,de Toca,1919,7,20,PM,PC,0,0,0,0,SPN-1919-2,5
Spain,230,Allendesalazar,1919,12,12,PM,PC/Lib/Dem,0,1,0,0,SPN-1919-3,5
Spain,230,Dato y Iradier,1920,5,5,PM,PC,0,1,0,0,SPN-1920,5
Spain,230,Bugallal Araujo,1921,3,8,PM,PC,0,0,0,0,SPN-1921-1,5
Spain,230,Allendesalazar,1921,3,13,PM,PC/Lib/Dem,0,1,0,0,SPN-1921-2,5
Spain,230,Maura y Montaner,1921,8,14,PM,PC/Lib/Dem,0,0,0,0,SPN-1921-3,5
Spain,230,Sanchez Guerra,1922,3,8,PM,PC/Lib/Dem,0,0,0,0,SPN-1922-1,5
Spain,230,Garcia Prieto,1922,12,5,PM,PL,1,0,0,0,SPN-1922-2,5
Spain,230,de Rivera,1923,9,14,PM,Mil,1,0,0,0,SPN-1923,5
Spain,230,Berenguer,1930,1,30,PM,Non-Party,0,0,0,1,SPN-1930,5
Spain,230,Aznar y Cabanas,1931,2,18,PM,Non-Party,0,0,0,1,SPN-1931-1,5
Spain,230,Alcala-Zamora,1931,4,14,PM,PRC/PSOE/ORGA/RA/PRS/PRR/ACR,1,0,0,0,SPN-1931-2,5
Spain,230,Azana y Diaz,1931,10,14,PM,"RA/PSOE/ORGA/PRS/PRR/ACR, RA/ORGA/PSOE/PRS/ER, RA/ORGA/PSOE/RSR/ER/FR",1,0,2,0,SPN-1931-3,5
